complaint_text,category
The package arrived at the local PO but was not delivered. Now it is the weekend.,Delivery Delay
Delay in delivery of educational certificates. I need them for counseling.,Delivery Delay
My consignment to Surat is delayed. Tracking says 'Misrouted'.,Delivery Delay
Sent a parcel to Ranchi. It has been 12 days and no update.,Delivery Delay
The article to Dehradun is stuck at the Delhi hub. Please expedite.,Delivery Delay
My parcel to Vadodara is delayed. This is very poor service.,Delivery Delay
Waiting for a parcel from my parents in Kerala. It has been 2 weeks.,Delivery Delay
The speed post to Amritsar is late. Tracking shows no movement.,Delivery Delay
Delay in delivery of a gift to my friend in Pune. Very disappointing.,Delivery Delay
My parcel to Nagpur is stuck. The post office is not answering calls.,Delivery Delay
The consignment to Visakhapatnam is delayed. I filed a complaint but no response.,Delivery Delay
Speed post to Jodhpur is late. It contains perishable items.,Delivery Delay
My letter to the editor is delayed. The issue is no longer relevant.,Delivery Delay
Parcel to Coimbatore is stuck at Chennai. Please help.,Delivery Delay
Delay in delivery of a book packet. Exams are starting soon.,Delivery Delay
The registered post to Varanasi is late. It has been 8 days.,Delivery Delay
My parcel from Delhi to Shimla seems to have vanished. Tracking stopped 20 days ago.,Lost Parcel
I sent a gift to Guwahati (Ref: RN123456789IN). Status says 'Delivered' but nothing arrived.,Lost Parcel
My package containing a mobile phone is missing. The post office says they can't find it.,Lost Parcel
Registered letter to Mumbai Income Tax office never reached. I am facing a penalty.,Lost Parcel
I booked a consignment from Kochi. It never arrived. Complaint filed but no response.,Lost Parcel
My article to Shillong is lost in transit. Helpline 1924 is useless.,Lost Parcel
Sent property documents to Ahmedabad. The packet is untraceable. This is negligence.,Lost Parcel
I sent a money order to my village. It has been 2 months and the record is lost.,Lost Parcel
Consignment stuck at 'Bag Opened' for 3 weeks. I fear it is stolen.,Lost Parcel
Article marked as 'Delivered' to a stranger. My parcel is effectively lost.,Lost Parcel
My Speed Post article containing a watch is missing. Compensation offered is too low.,Lost Parcel
The parcel with my original degree certificate is lost. How can I replace it?,Lost Parcel
Sent 5kg of sweets to my son. The parcel never reached the destination.,Lost Parcel
My cheque book sent by the bank is lost. I am worried about fraud.,Lost Parcel
The post office says they cannot find my parcel in their godown. Tracking shows it is there.,Lost Parcel
"Article lost between two sorting hubs. Dispatched from A, never reached B.",Lost Parcel
My PLI policy document sent via post is lost. Getting a duplicate is a hassle.,Lost Parcel
Sent a return parcel to Amazon via India Post. Amazon says they never received it.,Lost Parcel
Courier to Andaman Nicobar is lost. No updates after Kolkata.,Lost Parcel
The entire bag of mail containing my letter was lost in an accident. I need compensation.,Lost Parcel
My passport was dispatched by the RPO but India Post has lost it.,Lost Parcel
Parcel containing clothes for my newborn is lost. It has been 45 days.,Lost Parcel
I suspect pilferage at the sorting centre. My parcel arrived empty.,Lost Parcel
The status says 'Disposed'. How can you dispose of my property?,Lost Parcel
"My registered parcel to Pune is missing. Visited the PO 5 times, no clue.",Lost Parcel
Sent a laptop charger to Bangalore. It never reached. Tracking is invalid.,Lost Parcel
My consignment of books is lost. I need them for my studies.,Lost Parcel
The parcel sent to Jaipur is missing. It had expensive items.,Lost Parcel
My letter to the Prime Minister's office is lost. This is unacceptable.,Lost Parcel
Sent a Rakhi to my brother. It was lost and never delivered.,Lost Parcel
My parcel to Hyderabad is untraceable. The status has not changed in a month.,Lost Parcel
The consignment to Chennai is lost. I want a full refund.,Lost Parcel
My speed post to Kolkata is missing. The tracking number does not exist.,Lost Parcel
Sent a gift to my friend in Delhi. It never arrived.,Lost Parcel
My parcel to Lucknow is lost. The postmaster is not helpful.,Lost Parcel
The article to Patna is missing. I have lost hope of finding it.,Lost Parcel
My consignment to Bhopal is lost. Tracking shows 'Record Not Found'.,Lost Parcel
Sent a parcel to Indore. It is missing. Please investigate.,Lost Parcel
My registered post to Surat is lost. It contained important papers.,Lost Parcel
The packet to Nagpur is missing. I demand an inquiry.,Lost Parcel
My parcel to Kanpur is lost. This is very poor service.,Lost Parcel
Sent a letter to the bank. It was lost. Now my account is frozen.,Lost Parcel
My consignment to Vadodara is missing. I am very frustrated.,Lost Parcel
The parcel to Visakhapatnam is lost. I filed an RTI but no reply.,Lost Parcel
My speed post to Ludhiana is missing. It had my driving license.,Lost Parcel
Sent a parcel to Agra. It never reached. Where is it?,Lost Parcel
My article to Nashik is lost. Tracking stopped at Mumbai.,Lost Parcel
The consignment to Meerut is missing. Please find it.,Lost Parcel
My parcel to Rajkot is lost. I will sue the department.,Lost Parcel
Sent a parcel to Varanasi. It is missing. Tracking says 'In Transit' forever.,Lost Parcel
Received my parcel from Amazon via India Post. The outer box was crushed.,Damaged Item
"I sent a jar of pickles. Despite marking 'Fragile', it was smashed.",Damaged Item
The book packet was torn open. Several pages are wet and ruined.,Damaged Item
My laptop charger arrived bent. Packaging was very poor.,Damaged Item
Received a damaged envelope. Important certificates inside were creased.,Damaged Item
The Rakhi envelope was torn and the Rakhi was missing. Only empty envelope delivered.,Damaged Item
Electronic item reached Lucknow in pieces. The box was crushed.,Damaged Item
My medicine parcel was left in the rain. The medicines are spoiled.,Damaged Item
The corner of the parcel was bitten by rats. Unhygienic storage.,Damaged Item
Received a framed photo with shattered glass. I want to claim insurance.,Damaged Item
"My degree certificate arrived folded, despite 'Do Not Fold' instruction.",Damaged Item
The outer box was destroyed. Looks like it was thrown from a vehicle.,Damaged Item
Sent dry fruits. The packet was torn and contents spilled.,Damaged Item
The delivered item is scratched and dented. Happened during transit.,Damaged Item
The customized gift is ruined. The painting corner is ripped.,Damaged Item
Received a parcel covered in dust and dirt. Contents are soiled.,Damaged Item
The plastic container inside cracked due to heavy pressure.,Damaged Item
My medicine bottle was broken. Glass shards mixed with pills.,Damaged Item
The decorative beads on the Rakhi were crushed. Very careless handling.,Damaged Item
The book cover is ripped. Caught in a sorting machine?,Damaged Item
The package arrived open. Adhesive tape was removed.,Damaged Item
My headphones are broken. One side is not working after crushing.,Damaged Item
The collectible coin set arrived with a cracked display case.,Damaged Item
The saree has oil stains from another damaged parcel.,Damaged Item
Wedding invitation cards were bent at the corners. Unprofessional.,Damaged Item
My parcel containing snacks was crushed. It is now powder.,Damaged Item
The gift box was dented. It looks terrible.,Damaged Item
My cosmetics parcel arrived broken. The lotion leaked everywhere.,Damaged Item
The toy I sent to my nephew is broken. He is crying.,Damaged Item
My watch arrived with a cracked screen. It was packed well.,Damaged Item
The ceramic mug I ordered is verified broken. I need a replacement.,Damaged Item
My parcel was wet. The clothes inside smell of mildew.,Damaged Item
The musical instrument arrived damaged. The strings are snapped.,Damaged Item
My painting was bent. The canvas is ruined.,Damaged Item
The jewellery box was crushed. The latch is broken.,Damaged Item
My spectacles arrived with a broken frame. I can't see.,Damaged Item
The flower vase is shattered. It was a gift.,Damaged Item
My calculator is damaged. The screen is black.,Damaged Item
The perfume bottle broke. The whole parcel smells strong.,Damaged Item
My hard drive arrived damaged. It is making a clicking sound.,Damaged Item
The shoes were crushed. They are out of shape.,Damaged Item
My mobile screen guard arrived cracked. Useless now.,Damaged Item
The wall clock is broken. The glass is shattered.,Damaged Item
My seeds packet was torn. Seeds leaked out.,Damaged Item
The kitchen appliance arrived dented. It is not working.,Damaged Item
My stationery parcel was wet. The notebooks are ruined.,Damaged Item
The candles I sent melted. They were kept in a hot place.,Damaged Item
My chocolate parcel was crushed. It is a mess.,Damaged Item
The handicraft item is broken. It was very delicate.,Damaged Item
My parcel looks like it was stepped on. Everything inside is flat.,Damaged Item
The parcel was delivered to a neighbor. I did not authorize this.,Wrong Delivery
Status says 'Delivered' but I was home and no one came.,Wrong Delivery
"My letter went to the wrong pin code. Addressed to 400001, went to 400051.",Wrong Delivery
The postman gave my registered post to a shopkeeper. Privacy violation.,Wrong Delivery
I received a parcel meant for 'Rahul'. I had to return it.,Wrong Delivery
Delivered to the wrong address. Signature on POD is not mine.,Wrong Delivery
The postman threw the letter in the wrong house. Neighbor gave it to me.,Wrong Delivery
Delivered to 'Security' but my building has no guard. Who has it?,Wrong Delivery
My speed post went to my old address despite redirection request.,Wrong Delivery
Package delivered to office reception on Sunday. Now it is missing.,Wrong Delivery
My parcel was delivered to Flat 401 instead of 402.,Wrong Delivery
The postman confused my address with a similar street name.,Wrong Delivery
Delivered to a family member who doesn't live with me. I asked for personal delivery.,Wrong Delivery
Article sent to the wrong city due to sorting error.,Wrong Delivery
Delivered to the Watchman. He denies taking it.,Wrong Delivery
My interview letter was delivered to a house two blocks away.,Wrong Delivery
Postman marked 'Delivered' but kept it to deliver next day.,Wrong Delivery
Wrong delivery of legal notice. It went to the opposite party!,Wrong Delivery
Parcel left at the door. Anyone could have stolen it.,Wrong Delivery
Delivered to 'Ramesh'. There is no Ramesh here.,Wrong Delivery
My refund cheque was delivered to the wrong address.,Wrong Delivery
Postman gave parcel to a kid playing outside. No signature taken.,Wrong Delivery
I keep getting mail for the previous tenant. Please stop.,Wrong Delivery
My parcel was delivered to a nearby shop. I have to go collect it.,Wrong Delivery
Delivered to the wrong floor. I found it on the stairs.,Wrong Delivery
My credit card was delivered to the wrong person. Security risk!,Wrong Delivery
The postman dropped the letter in the wrong letterbox.,Wrong Delivery
Delivered to a commercial address instead of residential.,Wrong Delivery
My parcel was handed to a stranger on the street.,Wrong Delivery
The tracking says delivered to [City A] but I live in.,Wrong Delivery
Delivered to the wrong block in the society.,Wrong Delivery
My passport was delivered to my neighbor. This is illegal.,Wrong Delivery
The postman mixed up the parcels. I got someone else's.,Wrong Delivery
Delivered to the wrong wing of the apartment complex.,Wrong Delivery
My parcel was left with the gardener. He forgot to give it to me.,Wrong Delivery
Delivered to the wrong office cabin. My colleague found it.,Wrong Delivery
The postman gave it to the maid next door. She lost it.,Wrong Delivery
Delivered to the wrong hostel room number.,Wrong Delivery
My confidential letter was given to the receptionist.,Wrong Delivery
Delivered to the wrong plot number in the colony.,Wrong Delivery
My parcel was left at the gate. It rained and got wet.,Wrong Delivery
Delivered to the wrong village with the same name.,Wrong Delivery
My magazine subscription is going to the wrong house.,Wrong Delivery
Delivered to a person with the same name but different address.,Wrong Delivery
The postman dropped the parcel in the wrong compound.,Wrong Delivery
Delivered to the wrong school. My son didn't get it.,Wrong Delivery
My appointment letter was delivered to the wrong flat.,Wrong Delivery
Delivered to the wrong shop in the market.,Wrong Delivery
My parcel was left on the porch of the wrong house.,Wrong Delivery
Delivered to the wrong relative. I have to go get it.,Wrong Delivery
The tracking website is useless. 'Item Booked' for 5 days.,Tracking Issue
I can't track my consignment EW556677889IN. 'Invalid Number'.,Tracking Issue
Tracking is confusing. Delhi -> Mumbai -> Delhi -> Nagpur?,Tracking Issue
Mobile tracking page keeps timing out. I need status.,Tracking Issue
"SMS said 'Out for Delivery' at 9 AM. Now 8 PM, status 'Insufficient Address'.",Tracking Issue
Server is always down. 'System Busy'. How to track?,Tracking Issue
Tracking says 'Door Locked' but I was home. Postman is lying.,Tracking Issue
No updates for international shipment after Mumbai Foreign Post Office.,Tracking Issue
Tracking shows 'Delivered' but not to whom or where.,Tracking Issue
Status says 'Disposed'. What does that mean?,Tracking Issue
Website is down for 48 hours. Cannot track urgent parcel.,Tracking Issue
Enter Consignment Number says 'No Record Found'. I have receipt.,Tracking Issue
Status not changed from 'Booked' for 10 days.,Tracking Issue
Website is slow. Times out before loading.,Tracking Issue
Status says 'Out for Delivery' at 10 PM. Fake update.,Tracking Issue
"SMS says delivered, online says 'In Transit'. Which is true?",Tracking Issue
CAPTCHA on tracking page keeps failing.,Tracking Issue
No update after 'Item Dispatched from India'. Been a month.,Tracking Issue
Mobile app crashes when tracking speed post.,Tracking Issue
Cannot see destination PIN code in tracking. Wrong place?,Tracking Issue
Status 'Insufficient Address' but no one called.,Tracking Issue
SMS alerts not coming. Have to check website manually.,Tracking Issue
Tracking history shows future dates? System glitch.,Tracking Issue
Unable to track Money Order online.,Tracking Issue
Tracking number on receipt is illegible.,Tracking Issue
Status 'Item On Hold' but no reason given.,Tracking Issue
Tracking link in SMS does not open.,Tracking Issue
Parcel arrived but tracking says 'Pending'. Not real-time.,Tracking Issue
Customer care sees same details as website. Useless.,Tracking Issue
Tracking shows 'Redirected' but not where.,Tracking Issue
Track N Trace unavailable due to maintenance.,Tracking Issue
Cannot download Proof of Delivery.,Tracking Issue
Tracking says 'Customs Hold' for too long.,Tracking Issue
Status 'Return to Sender' without delivery attempt.,Tracking Issue
Tracking shows 'Undelivered' but no reason.,Tracking Issue
No tracking for ordinary post. How to find it?,Tracking Issue
Tracking says 'Delivered' at 2 AM. Impossible.,Tracking Issue
Status 'Item Received' at same location 3 times.,Tracking Issue
Tracking shows 'Bagged' but not 'Dispatched'.,Tracking Issue
Cannot track PLI status online.,Tracking Issue
Tracking says 'Addressee Left'. I am still here.,Tracking Issue
Status 'Unclaimed' but I never got notice.,Tracking Issue
Tracking map is not loading.,Tracking Issue
Status 'Item Misplaced' then 'Found'. Very confusing.,Tracking Issue
Tracking shows wrong weight of parcel.,Tracking Issue
Status 'Delivered' but date is wrong.,Tracking Issue
Tracking says 'Attempted' but no intimation slip.,Tracking Issue
Cannot track VPP parcel.,Tracking Issue
Tracking interface is not user friendly.,Tracking Issue
Status 'Item Lost' appeared then disappeared.,Tracking Issue
Waiting for refund of failed money order for 3 months.,Refund / Compensation
Insured parcel lost. Offering Rs. 500 instead of Rs. 5000.,Refund / Compensation
Charged double for weight. Scale faulty. Want refund.,Refund / Compensation
COD collected but not credited to my account. 15 days passed.,Refund / Compensation
Cancelled PLI policy. Surrender value not received.,Refund / Compensation
Double deduction for Sukanya Samriddhi. Refund extra.,Refund / Compensation
Want compensation for mental harassment due to delay.,Refund / Compensation
Parcel damaged. Insurance claim process too complicated.,Refund / Compensation
Deposit in RD not reflecting. Need money back or credit.,Refund / Compensation
Lost speed post. Want refund of booking amount + compensation.,Refund / Compensation
Cancelled Money Order. When will I get money back?,Refund / Compensation
Speed post delayed by 10 days. Entitled to refund.,Refund / Compensation
Double deduction for stamp online. Refund Rs. 500.,Refund / Compensation
Compensation check bounced. This is harassment.,Refund / Compensation
Penalty deducted without notice. Refund it.,Refund / Compensation
"Parcel damaged. Want declared value, not just postage.",Refund / Compensation
Paid for service I didn't get. Full refund needed.,Refund / Compensation
Postmaster asking bribe for refund cheque.,Refund / Compensation
Deposit in savings account not reflecting. Where is money?,Refund / Compensation
Sent 3 reminders for claim. No reply.,Refund / Compensation
Insurance claim rejected citing silly reasons.,Refund / Compensation
Refund for failed IPPB transaction not reversed.,Refund / Compensation
"Lost international parcel. Compensation in Rupees, paid in Dollars.",Refund / Compensation
Senior citizen. Can't run for Rs. 200 refund. Credit account.,Refund / Compensation
Department denies 'consequential loss'. I lost contract.,Refund / Compensation
"MO returned unpaid, commission deducted. Want full back.",Refund / Compensation
Refund for cancelled stamp order pending.,Refund / Compensation
Wrongly charged for customs duty. Need refund.,Refund / Compensation
Compensation for lost passport is too low.,Refund / Compensation
Refund for failed bill payment via post office.,Refund / Compensation
Extra charge for packaging not provided. Refund.,Refund / Compensation
Claim pending for 6 months. No update.,Refund / Compensation
Refund for damaged electronic item denied.,Refund / Compensation
Interest on KVP not paid correctly. Need difference.,Refund / Compensation
Refund for lost registered letter refused.,Refund / Compensation
"Charged for door delivery, had to collect. Refund.",Refund / Compensation
Compensation for torn books is insufficient.,Refund / Compensation
Refund for duplicate transaction failed.,Refund / Compensation
Claim form lost by office. Have to file again.,Refund / Compensation
Refund for late delivery of express parcel.,Refund / Compensation
Compensation for broken glass item rejected.,Refund / Compensation
Refund for cancelled RD account delayed.,Refund / Compensation
Wrong interest rate applied. Refund difference.,Refund / Compensation
Compensation for lost gift parcel pending.,Refund / Compensation
Refund for failed recharge at PO counter.,Refund / Compensation
Charged for insurance but not covered. Refund.,Refund / Compensation
Compensation for spoiled food item denied.,Refund / Compensation
Refund for lost cheque book charges.,Refund / Compensation
Claim settlement taking too long.,Refund / Compensation
Refund amount credited to wrong account.,Refund / Compensation
Civil Lines staff rude. Shouted for no change.,Staff Behavior
Clerk made me wait 45 mins while chatting on phone.,Staff Behavior
Postmaster refused parcel saying 'too big'. It was within limits.,Staff Behavior
Arrogant staff at speed post counter. Threw receipt.,Staff Behavior
Postman demands 'tip' for passport delivery. Threatens non-delivery.,Staff Behavior
Counter shut at 3 PM. Official time is 4 PM.,Staff Behavior
Guard rude. Didn't let me park bike.,Staff Behavior
Aadhaar counter employee asking for bribe.,Staff Behavior
No one picks up customer care phone. Staff ignores.,Staff Behavior
Postman threw mail on floor. Unprofessional.,Staff Behavior
Andheri East staff rude. Shouted for asking pen.,Staff Behavior
Clerk refused booking at 3:30 PM. Watching videos.,Staff Behavior
Staff shuts counter for lunch 1-2:30. Limit is 30 mins.,Staff Behavior
Official made me wait 1 hour while chatting.,Staff Behavior
Postmaster arrogant. Refused to listen to grievance.,Staff Behavior
Lady at Aadhaar counter rude to elderly.,Staff Behavior
Staff refused complaint book. Threatened ban.,Staff Behavior
Delivery agent threw parcel at gate.,Staff Behavior
Staff refused Rs. 10 coin. Said 'not valid'.,Staff Behavior
Clerk never has change. Forces to buy stamps.,Staff Behavior
Staff eating lunch at counter. Said come later.,Staff Behavior
Postman smells of alcohol.,Staff Behavior
Employee refused to help illiterate person.,Staff Behavior
Staff keeps fan for themselves. Customer area hot.,Staff Behavior
Staff mocked me for asking tracking questions.,Staff Behavior
Enquiry window empty. Waited 45 mins.,Staff Behavior
Postman refused to come to 3rd floor.,Staff Behavior
Gates closed 15 mins early.,Staff Behavior
Staff not trained. Don't know international rules.,Staff Behavior
Clerk made address error. Blamed me.,Staff Behavior
Discriminatory behavior. Attends known people first.,Staff Behavior
Postman speaks rudely if asked why late.,Staff Behavior
Branch manager hung up on me.,Staff Behavior
Staff busy on personal calls. Line long.,Staff Behavior
Postman asks for Diwali bonus aggressively.,Staff Behavior
Clerk yelled at me for not having glue.,Staff Behavior
Staff refused to weigh parcel. Guessed weight.,Staff Behavior
Postmaster is always absent.,Staff Behavior
Guard pushed me out at closing time.,Staff Behavior
Staff lost my form. Asked to fill again.,Staff Behavior
Clerk refused to accept damaged note.,Staff Behavior
Postman comes at odd hours.,Staff Behavior
Staff refused to give receipt.,Staff Behavior
Employee sleeping at counter.,Staff Behavior
Staff arguing loudly with each other.,Staff Behavior
Postman refuses to check ID.,Staff Behavior
Clerk gave wrong information.,Staff Behavior
Staff refused to acknowledge delivery.,Staff Behavior
Postman makes me sign blank paper.,Staff Behavior
Staff very slow. One transaction takes 20 mins.,Staff Behavior
"Thank you for the quick delivery, very happy.",Appreciation
"Great service by the postman today.",Appreciation
"Received my parcel on time, good job India Post.",Appreciation
"Excellent service and polite staff.",Appreciation
"Very fast delivery of my speed post.",Appreciation
"Keep up the good work.",Appreciation
"Appreciate the timely response.",Appreciation
"My passport arrived earlier than expected.",Appreciation
"Good experience with the tracking system.",Appreciation
"Post office staff was very helpful.",Appreciation
"Satisfied with the resolution provided.",Appreciation
"Best service I have received recently.",Appreciation
